Magazine,EHASTRA_EH_NUMMER,Period,Heftjahr,Heftnummer,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,N1_Demand,N2_Demand,N3_Demand,EM_Demand,PD_Demand,Nahmias_Demand,Conrad_Demand,Bayesian_Demand,Bayesian_Q,Baseline_Demand,N1_Q,N2_Q,N3_Q,EM_Q,PD_Q,Nahmias_Q,Conrad_Q,Baseline_Q
A,EHA0017186,2023-010,2023,10,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-011,2023,11,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0017186,2023-012,2023,12,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-013,2023,13,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-014,2023,14,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-015,2023,15,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-016,2023,16,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-028,2023,28,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-029,2023,29,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-030,2023,30,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-031,2023,31,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-032,2023,32,6.0,0.0,6.0,6.0,0.0,6.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-033,2023,33,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,1,1.0,0.0085,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0017186,2024-003,2024,3,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-004,2024,4,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-005,2024,5,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-006,2024,6,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-007,2024,7,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-011,2024,11,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-012,2024,12,1.0,0.0,1.0,1.0,0.0,1.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-013,2024,13,1.0,0.0,1.0,1.0,0.0,1.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-014,2024,14,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0017186,2024-015,2024,15,1.0,0.0,1.0,1.0,0.0,1.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
A,EHA0021360,2022-008,2022,8,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-009,2022,9,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0021360,2022-010,2022,10,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-011,2022,11,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-012,2022,12,2.0,1.0,1.0,2.0,1.0,1.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0021360,2022-013,2022,13,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-014,2022,14,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-015,2022,15,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0021360,2022-016,2022,16,1.0,1.0,0.0,2.0,1.0,1.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0021360,2022-018,2022,18,2.0,1.0,1.0,2.0,1.0,1.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHB0019844,2022-002,2022,2,6.0,2.0,4.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,
A,EHB0019844,2022-003,2022,3,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,,,,,,,,
A,EHB0019844,2022-004,2022,4,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,
A,EHB0019844,2022-005,2022,5,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-006,2022,6,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-007,2022,7,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-008,2022,8,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-009,2022,9,4.0,2.0,2.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-010,2022,10,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-011,2022,11,7.0,1.0,6.0,7.0,1.0,6.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-012,2022,12,5.0,1.0,4.0,5.0,1.0,4.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-013,2022,13,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-014,2022,14,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-015,2022,15,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-016,2022,16,7.0,2.0,5.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-017,2022,17,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,
A,EHB0019844,2022-018,2022,18,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-019,2022,19,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-020,2022,20,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-021,2022,21,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-022,2022,22,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-023,2022,23,7.0,2.0,5.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-024,2022,24,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-025,2022,25,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-026,2022,26,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-027,2022,27,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-028,2022,28,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-029,2022,29,5.0,2.0,3.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-030,2022,30,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,
A,EHB0019844,2022-031,2022,31,5.0,3.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-032,2022,32,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-033,2022,33,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-034,2022,34,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-035,2022,35,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-036,2022,36,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-037,2022,37,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-038,2022,38,7.0,5.0,2.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,2.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-039,2022,39,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,,,,,,,,
A,EHB0019844,2022-040,2022,40,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-041,2022,41,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-042,2022,42,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-043,2022,43,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,
A,EHB0019844,2022-044,2022,44,6.0,2.0,4.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-045,2022,45,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-046,2022,46,5.0,1.0,4.0,5.0,1.0,4.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-047,2022,47,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,2.0,,,,,,,,
A,EHB0019844,2022-048,2022,48,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-049,2022,49,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-050,2022,50,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-051,2022,51,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2022-052,2022,52,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,,,,,,,,
A,EHB0019844,2023-001,2023,1,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,,,,,,,,
A,EHB0019844,2023-002,2023,2,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,,,,,,,,
A,EHB0019844,2023-003,2023,3,7.0,2.0,5.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,
A,EHB0019844,2023-004,2023,4,4.0,2.0,2.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
A,EHB0019844,2023-005,2023,5,4.0,2.0,2.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,,,,,,,,
