Magazine,EHASTRA_EH_NUMMER,Baseline_avg_oos_rate,Baseline_avg_beta_fill_rate,Baseline_avg_alpha_service_level,Baseline_lost_sales,Baseline_pinball_loss,N1_avg_oos_rate,N1_avg_beta_fill_rate,N1_avg_alpha_service_level,N1_lost_sales,N1_pinball_loss,N2_avg_oos_rate,N2_avg_beta_fill_rate,N2_avg_alpha_service_level,N2_lost_sales,N2_pinball_loss,N3_avg_oos_rate,N3_avg_beta_fill_rate,N3_avg_alpha_service_level,N3_lost_sales,N3_pinball_loss,EM_avg_oos_rate,EM_avg_beta_fill_rate,EM_avg_alpha_service_level,EM_lost_sales,EM_pinball_loss,PD_avg_oos_rate,PD_avg_beta_fill_rate,PD_avg_alpha_service_level,PD_lost_sales,PD_pinball_loss,Nahmias_avg_oos_rate,Nahmias_avg_beta_fill_rate,Nahmias_avg_alpha_service_level,Nahmias_lost_sales,Nahmias_pinball_loss,Conrad_avg_oos_rate,Conrad_avg_beta_fill_rate,Conrad_avg_alpha_service_level,Conrad_lost_sales,Conrad_pinball_loss,Bayesian_avg_oos_rate,Bayesian_avg_beta_fill_rate,Bayesian_avg_alpha_service_level,Bayesian_lost_sales,Bayesian_pinball_loss
D,EHB0019844,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,9.0,0.06923076923076922,0.0,1.0,1.0,22.0,0.1692307692307692
E,EHC0005070,0.0,1.0,1.0,28.0,0.39999999999999986,0.0,1.0,1.0,17.0,0.24285714285714283,0.0,1.0,1.0,17.0,0.24285714285714283,0.0,1.0,1.0,28.0,0.39999999999999986,0.0,1.0,1.0,31.0,0.4428571428571427,0.0,1.0,1.0,28.0,0.39999999999999986,0.0,1.0,1.0,28.0,0.39999999999999986,0.0,1.0,1.0,28.0,0.39999999999999986,0.0,1.0,1.0,27.0,0.3857142857142856
F,EHG0006538,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.125,0.875,0.875,5.0,0.16249999999999998,0.0,1.0,1.0,11.0,0.13749999999999996
G,EHB0023505,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.125,0.8666666666666668,0.875,9.0,0.31249999999999994,0.125,0.8666666666666668,0.875,9.0,0.31249999999999994,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.125,0.9333333333333332,0.875,10.0,0.22499999999999998,0.0,1.0,1.0,16.0,0.19999999999999996
G,EHG0006538,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332,0.0,1.0,1.0,7.0,0.05833333333333332
H,EHB0023505,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,12.0,0.19999999999999996,0.0,1.0,1.0,18.0,0.2999999999999999
H,EHG0006538,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999,0.0,1.0,1.0,4.0,0.07999999999999999
H,EHH0011851,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665,0.0,1.0,1.0,4.0,0.06666666666666665
I,EHA0020265,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997,0.0,1.0,1.0,9.0,0.17999999999999997
I,EHH0010681,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,13.0,0.25999999999999995,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,8.0,0.15999999999999998,0.0,1.0,1.0,13.0,0.25999999999999995
